Year,District,Underemployment_Rate,Unemployment_Rate,Percentage_of_Informal_Employment
2020,Kurunegala,4.7,5.0,66.4
2020,Puttalam,2.9,2.9,73.7
2020,Anuradhapura,3.1,3.9,71.0
2020,Polonnaruwa,0.8,4.5,68.6
2020,Badulla,2.5,3.6,68.7
2020,Monaragala,1.9,6.5,71.3
2020,Ratnapura,3.6,5.2,67.6
2020,Kegalle,1.3,5.5,58.8
2020,Uva,,,
2021,All Island,2.5,5.1,58.4
2021,Colombo,2.5,4.4,36.6
2021,Gampaha,1.6,4.7,44.9
2021,Kalutara,3.4,6.5,51.3
2021,Kandy,1.3,6.8,56.5
2021,Matale,3.9,6.1,60.9
2021,Nuwara Eliya,0.6,3.7,45.9
2021,Galle,5.1,7.0,64.2
2021,Matara,2.9,7.2,64.7
2021,Hambantota,4.0,7.7,67.2
2021,Jaffna,2.0,4.7,66.1
2021,Mannar,0.8,2.1,76.9
2021,Vavunia,1.4,5.4,64.5
2021,Mulativu,1.3,2.4,71.9
2021,Kilinochchi,0.2,5.3,64.6
2021,Batticaloa,1.3,7.2,68.7
2021,Ampara,1.3,5.1,64.5
2021,Trincomalee,2.3,1.4,64.7
2021,Kurunegala,3.0,3.7,64.6
2021,Puttalam,2.1,3.5,72.8
2021,Anuradhapura,4.2,4.6,72.0
2021,Polonnaruwa,0.3,4.5,70.0
2021,Badulla,3.8,5.6,69.6
2021,Monaragala,1.7,5.4,73.7
2021,Ratnapura,2.9,4.7,65.4
2021,Kegalle,1.3,5.2,58.9
2021,Uva,,,
2022,All Island,2.3,4.8,56.2
2022,Colombo,1.5,3.9,35.1
2022,Gampaha,1.2,3.5,42.3
2022,Kalutara,2.3,4.2,48.9
2022,Kandy,1.8,5.8,53.8
2022,Matale,1.7,4.9,61.5
2022,Nuwara Eliya,1.0,3.2,44.2
2022,Galle,3.2,5.1,61.7
2022,Matara,2.4,6.2,60.9
2022,Hambantota,3.4,5.8,70.5
2022,Jaffna,2.8,4.0,64.2
2022,Mannar,1.1,3.1,74.1
2022,Vavunia,1.2,3.8,62.9
2022,Mulativu,1.6,3.8,69.3
2022,Kilinochchi,0.5,4.5,62.5
2022,Batticaloa,1.5,5.2,66.1
2022,Ampara,1.3,4.5,63.2
2022,Trincomalee,1.9,4.2,62.8
2022,Kurunegala,3.8,3.5,62.7
2022,Puttalam,2.1,3.2,70.9
2022,Anuradhapura,3.2,3.7,70.1
2022,Polonnaruwa,1.4,2.8,68.3
2022,Badulla,2.0,4.1,67.2
2022,Monaragala,1.8,4.6,71.5
2022,Ratnapura,2.4,3.8,63.8
2022,Kegalle,1.8,4.3,56.7
2022,Uva,,,
2023,All Island,2.5,4.5,57.1
2023,Colombo,1.8,3.2,36.4
2023,Gampaha,1.4,3.8,43.1
2023,Kalutara,2.1,4.0,50.2
2023,Kandy,1.6,5.5,55.1
2023,Matale,1.5,4.6,62.8
2023,Nuwara Eliya,0.9,3.0,46.0
2023,Galle,3.5,4.8,63.5
2023,Matara,2.8,5.9,62.4
2023,Hambantota,3.7,5.5,72.1
2023,Jaffna,2.2,3.8,65.3
2023,Mannar,1.3,2.8,75.6
2023,Vavunia,1.5,3.5,64.8
2023,Mulativu,1.4,3.5,71.2
2023,Kilinochchi,0.6,4.2,65.8
2023,Batticaloa,1.8,4.9,67.9
2023,Ampara,1.6,4.2,64.7
2023,Trincomalee,2.1,4.0,64.3
2023,Kurunegala,3.5,3.3,64.2
2023,Puttalam,2.3,3.0,72.6
2023,Anuradhapura,3.4,3.4,71.8
2023,Polonnaruwa,1.2,2.6,69.5
2023,Badulla,2.5,3.9,68.9
2023,Monaragala,2.0,4.3,73.4
2023,Ratnapura,2.6,3.5,66.5
2023,Kegalle,1.7,4.1,59.4
2023,Uva,,,
2024,All Island,2.4,4.2,57.8
2024,Colombo,1.6,2.9,37.2
2024,Gampaha,1.3,3.2,44.0
2024,Kalutara,2.0,3.7,51.5
2024,Kandy,1.5,5.1,56.3
2024,Matale,1.4,4.2,64.1
2024,Nuwara Eliya,0.8,2.8,47.8
2024,Galle,3.1,4.5,64.7
2024,Matara,2.5,5.5,63.6
2024,Hambantota,3.3,5.2,73.8
2024,Jaffna,2.0,3.5,66.1
2024,Mannar,1.1,2.5,77.2
2024,Vavunia,1.3,3.2,66.2
2024,Mulativu,1.2,3.2,72.5
2024,Kilinochchi,0.5,3.9,66.1
2024,Batticaloa,1.6,4.6,68.8
2024,Ampara,1.4,3.9,65.5
2024,Trincomalee,1.8,3.7,65.4
2024,Kurunegala,3.2,3.0,65.5
2024,Puttalam,2.0,2.8,74.1
2024,Anuradhapura,3.0,3.1,72.9
2024,Polonnaruwa,1.0,2.4,71.1
2024,Badulla,2.2,3.6,70.2
2024,Monaragala,1.8,4.0,74.6
2024,Ratnapura,2.3,3.2,68.2
2024,Kegalle,1.5,3.8,60.1
2024,Uva,,,
