Month,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026
January,258.01721947794175,313.1306230479197,377.01919667028966,472.7576840578115,502.27029873042835,555.4649928517975,523.519712878593,563.4316940355515,670.2874237389387,729.3548966460536,545.3254992794382,580.9276408043164,675.3390054353866,259.2224004013944,437.48872117666946,487.56912560776783,573.0150835758235,751.1364847791053
February,241.3434650018653,310.08727815946236,393.2545824074448,470.3534018449788,469.4230744996838,502.0028602715727,511.6433953413521,554.1924570180978,598.086845291198,571.5002263413448,500.492162671479,527.32246625236,579.6821699858931,204.92486303716285,407.4113413923999,476.15274509709104,548.113782072413,728.9620458600317
March,281.286631035467,373.23619352060666,503.4370141605327,564.663615774557,511.36526368633236,605.8833771114471,644.2602425886938,675.7404718166489,643.058386094087,677.6961157626178,571.431009617002,492.0915681614186,612.039426055064,318.4002148284584,568.3133040502482,572.3817390557347,693.3103082478191,
April,266.2652379968468,339.7262518790919,414.8376121203856,475.16126555624385,515.3293172313753,554.0070764109681,585.9398490044716,578.0044486161236,487.94389290657216,541.1780994671594,553.6920420435212,375.0192363972781,518.7544137326089,248.94295927029472,453.9889329798782,543.8344997214689,646.10543865492,
May,275.5109741085164,303.04171743955754,414.48447238581497,507.10567003071355,512.3554990725178,557.4906459045135,537.735348282721,597.2366386830122,600.7025576092499,580.4019949922705,562.1201492822893,431.75753243500594,460.114150675105,304.13890450622404,479.7068400575331,544.4126225033511,641.6891662797316,
June,280.49028152479883,343.89562167168805,403.53716320026047,452.33050875411266,528.2331006348323,585.1055018097321,629.565391314044,644.480992933533,590.8851105181104,523.6405184273614,536.6275845682627,572.4980030213977,478.4486578808749,274.30161465382605,475.70808136957163,519.6086007985568,635.7377767935731,
July,300.1334402623257,343.0238810410193,415.3978648677539,475.01051159084767,526.6277433381692,606.6550748186075,599.2998373972191,572.7679136535048,629.2901463776334,619.2971944301521,625.6805908103535,702.08852611799,453.2632668392378,279.473219110128,540.9649875806649,566.8300693319559,697.276061981973,
August,291.6635832322693,332.5045531590209,458.5439144737759,490.06391254912114,540.0171500252005,548.0727325527537,566.0370747735901,618.2873505229056,599.8838418158387,534.1970182243219,518.2479690698589,664.4567732301396,446.6176342664486,325.35725286826,499.1628509746794,577.4570513490174,680.7523131402743,
September,286.6487221031725,345.74244236100924,401.6127409142636,511.2188303465269,557.7681820988254,574.9856248534595,584.176236722284,577.8753625923472,537.7758451288071,499.5686117071165,516.2660983194008,702.6503317634936,353.22780133179384,359.3294925274374,482.3674846714565,555.5530322870613,695.7423286984454,
October,292.4058094287403,376.0436001222503,420.5466910904048,522.1089073660701,572.954526078492,600.0567071720749,605.1425603891124,607.532058283979,546.2579003477305,599.092454277415,607.0442233570847,630.7136177195367,317.38781426512065,355.3548728418218,517.3867852823716,587.6980738774198,712.0074615828589,
November,261.58987821087175,365.86668196194165,436.00080638963993,491.2921828051703,567.7798934674968,619.2519676205568,574.464192736019,567.3784015429475,588.3876285496235,555.0423235268939,515.26123914573,611.6708594744056,271.43416537213164,384.40581738667186,537.3232669836915,530.0627863192664,673.3688153518558,
December,294.9442841316884,369.6792113356549,506.169622762994,553.1958336987818,602.83257708076,708.8399889603842,618.5176333174204,684.6037351582894,671.3964371688033,584.450098589887,665.0234761837822,812.7378063911985,325.155964755842,475.61069513836514,569.7359351360864,613.823074357784,879.0977672897642,
Total,3330.2995265145037,4115.978055699222,5144.84168144356,5985.262324374935,6406.9566259441135,7017.816550337868,6980.30147474552,7241.5315248569395,7163.956015546592,7015.419552392593,6717.212044348202,7103.934361768541,5491.464470595507,3789.4623065700443,5969.558531655251,6575.383420306475,8076.216303669452,1480.0985306391372
