Year,Occupation,Total_No,Total_Pct,Formal_No,Formal_Pct,Informal_No,Informal_Pct
2023,Technical & Associate Professionals,690537,100.0,592303,85.8,98234,14.2
2023,Clerks & Clerical Support Workers,262986,100.0,246808,93.8,16177,6.2
2023,Services & Sales Workers,984747,100.0,457173,46.4,527574,53.6
2023,Skilled Agricultural / Forestry & Fishery Workers,1211408,100.0,33875,2.8,1177534,97.2
2023,Craft & Related Trades Workers,1105729,100.0,264141,23.9,841588,76.1
2023,Plant & Machine Operators & Assemblers,759785,100.0,337068,44.4,422717,55.6
2023,Elementary Occupations,2056729,100.0,655376,31.9,1401353,68.1
2023,Armed Forces & Unidentified Occupations,30068,100.0,28969,96.3,1099,3.7
2024,Total,7949751,100.0,3423526,43.1,4526224,56.9
2024,Chief Executive / Senior Official / Legislators,23376,100.0,22984,98.3,392,1.7
2024,Administrative & Commercial Managers,89193,100.0,86085,96.5,3109,3.5
2024,Production & Specialized Services Managers,117781,100.0,95415,81.0,22367,19.0
2024,Hospitality / Shop & Related Services Managers,109436,100.0,63391,57.9,46045,42.1
2024,Professionals,589418,100.0,507589,86.1,81829,13.9
2024,Technical & Associate Professionals,686022,100.0,559994,81.6,126028,18.4
2024,Clerks & Clerical Support Workers,283293,100.0,266602,94.1,16690,5.9
2024,Services & Sales Workers,978857,100.0,475927,48.6,502930,51.4
2024,Skilled Agricultural / Forestry & Fishery Workers,1212157,100.0,39644,3.3,1172514,96.7
2024,Craft & Related Trades Workers,1077931,100.0,254739,23.6,823192,76.4
2024,Plant & Machine Operators & Assemblers,783781,100.0,372157,47.5,411625,52.5
2024,Elementary Occupations,1957410,100.0,638616,32.6,1318794,67.4
2024,Armed Forces & Unidentified Occupations,41094,100.0,40385,98.3,710,1.7
