Year,Quarter,Indicator,FAO_Index_Quarterly
1961,Q1,566.0,45.69658005194514
1961,Q2,120.82635135135136,9.685667759052341
1961,Q3,334.0,26.541375698751917
1961,Q4,120.82635135135136,9.476376490250601
1962,Q1,631.0,48.75842732726466
1962,Q2,120.82635135135136,9.330058133174047
1962,Q3,372.0,28.78439488350319
1962,Q4,120.82635135135136,9.447119656058089
1963,Q1,660.0,52.278176038725164
1963,Q2,120.82635135135136,9.56491799849421
1963,Q3,368.0,29.042575429664343
1963,Q4,120.82635135135136,9.43433053311628
1964,Q1,672.0,51.776111541376366
1964,Q2,120.82635135135136,9.767382098144164
1964,Q3,384.0,32.830461049941476
1964,Q4,120.82635135135136,11.226045310537986
1965,Q1,482.0,48.77481935002106
1965,Q2,120.82635135135136,12.298219361314086
1965,Q3,276.0,27.723686053892965
1965,Q4,120.82635135135136,11.443275234771892
1966,Q1,642.0,55.88029261060833
1966,Q2,120.82635135135136,10.116747766015527
1966,Q3,315.0,25.590028636720437
1966,Q4,120.82635135135136,9.772930986655709
1967,Q1,730.0,59.38540137269905
1967,Q2,120.82635135135136,9.673907442412567
1967,Q3,418.0,32.808571066426055
1967,Q4,120.82635135135136,9.172120118462324
1968,Q1,909.0,66.396941096276
1968,Q2,120.82635135135136,8.70551472294199
1968,Q3,439.0,31.30276162786826
1968,Q4,120.82635135135136,8.634782552913759
1969,Q1,982.0,70.57941619591861
1969,Q2,120.82635135135136,8.500737449173494
1969,Q3,395.0,27.096911079186306
1969,Q4,120.82635135135136,7.982935275721578
1970,Q1,1034.0,65.45439063215355
1970,Q2,120.82635135135136,7.7167071419299305
1970,Q3,584.0,37.854499679769326
1970,Q4,120.82635135135136,8.174402546147197
1971,Q1,869.0,61.59315964997325
1971,Q2,120.82635135135136,8.752940986880466
1971,Q3,530.0,39.10108433566591
1971,Q4,120.82635135135136,8.952815027480378
1972,Q1,885.0,65.65519018949615
1972,Q2,120.82635135135136,9.019573305647643
1972,Q3,430.0,32.3197838569176
1972,Q4,120.82635135135136,9.165452647938611
1973,Q1,878.0,67.255985069998
1973,Q2,120.82635135135136,8.995762705182894
1973,Q3,437.0,31.42219501708129
1973,Q4,120.82635135135136,8.206057207737796
1974,Q1,1100.0,69.88256757209416
1974,Q2,120.82635135135136,8.165034671181344
1974,Q3,505.0,36.63772936587014
1974,Q4,120.82635135135136,9.834668390854347
1975,Q1,720.0,65.63989478668812
1975,Q2,120.82635135135136,11.391934604363703
1975,Q3,436.0,41.97974620676417
1975,Q4,120.82635135135136,11.388424402184027
1976,Q1,884.0,80.53984087693686
1976,Q2,120.82635135135136,10.462646262005478
1976,Q3,371.0,30.3808855268218
1976,Q4,120.82635135135136,9.25662733423585
1977,Q1,1146.0,81.53282458656346
1977,Q2,120.82635135135136,8.259271410226905
1977,Q3,534.0,35.16373504739293
1977,Q4,120.82635135135136,7.804168955816697
1978,Q1,1288.0,81.93277845376097
1978,Q2,120.82635135135136,7.861039703740475
1978,Q3,606.0,40.442279553753885
1978,Q4,120.82635135135136,8.403902288744671
1979,Q1,1395.0,101.27454006001389
1979,Q2,120.82635135135136,8.807117390562018
1979,Q3,524.0,38.22306692389969
1979,Q4,120.82635135135136,8.695275625524392
1980,Q1,1453.0,102.79532647167036
1980,Q2,120.82635135135136,8.382450101553854
1980,Q3,681.0,46.30279285407779
1980,Q4,120.82635135135136,8.03943057269799
1981,Q1,1522.0,99.03511372543107
1981,Q2,120.82635135135136,7.781297485706021
1981,Q3,707.0,45.10359289588267
1981,Q4,120.82635135135136,7.67999589298022
1982,Q1,1363.0,86.40363673296505
1982,Q2,120.82635135135136,7.60637936299597
1982,Q3,793.0,49.55445035649475
1982,Q4,120.82635135135136,7.475533547544205
1983,Q1,1786.0,109.35035218355125
1983,Q2,120.82635135135136,7.378746062019067
1983,Q3,698.0,42.539276939185484
1983,Q4,120.82635135135136,7.37162481524419
1984,Q1,1353.0,82.67983469762625
1984,Q2,120.82635135135136,7.304471496473042
1984,Q3,1060.0,63.3168121990346
1984,Q4,120.82635135135136,7.058881606866129
1985,Q1,1751.0,99.88291334110038
1985,Q2,120.82635135135136,6.854142687598076
1985,Q3,910.0,51.400783614243984
1985,Q4,120.82635135135136,6.862160357057576
1986,Q1,1688.0,96.5132031212152
1986,Q2,120.82635135135136,7.03507246943487
1986,Q3,900.0,53.38882604993436
1986,Q4,120.82635135135136,7.342898359415578
1987,Q1,1392.0,86.6818052701206
1987,Q2,120.82635135135136,7.420748569526473
1987,Q3,735.0,44.36280131452363
1987,Q4,120.82635135135136,7.014644845829287
1988,Q1,1525.0,84.71269257996887
1988,Q2,120.82635135135136,6.824961631948169
1988,Q3,952.0,54.92551446265693
1988,Q4,120.82635135135136,7.376831325426024
1989,Q1,1342.0,86.80623581416482
1989,Q2,120.82635135135136,7.652417213617512
1989,Q3,721.0,44.36695194605621
1989,Q4,120.82635135135136,6.894395026161456
1990,Q1,1647.0,85.86952408137091
1990,Q2,120.82635135135136,6.943577471951705
1990,Q3,891.0,56.62316731673656
1990,Q4,120.82635135135136,9.083731129940833
1991,Q1,1554.0,136.07167453578415
1991,Q2,120.82635135135136,10.807343564828344
1991,Q3,835.0,75.57749513768277
1991,Q4,120.82635135135136,10.38348676170475
1992,Q1,1630.0,131.29037747663958
1992,Q2,120.82635135135136,9.664945208009033
1992,Q3,710.0,56.65297377425503
1992,Q4,120.82635135135136,9.87170354109634
1993,Q1,1692.0,142.074953255722
1993,Q2,120.82635135135136,10.293375355053788
1993,Q3,878.0,75.806288356764
1993,Q4,120.82635135135136,10.50538303246019
1994,Q1,1670.0,146.08816624898452
1994,Q2,120.82635135135136,10.448725017297903
1994,Q3,1013.0,86.47533407305545
1994,Q4,120.82635135135136,10.067774660662138
1995,Q1,1761.0,142.9442341448122
1995,Q2,120.82635135135136,10.281255205850679
1995,Q3,1049.0,93.80859998503779
1995,Q4,120.82635135135136,11.765910664299321
1996,Q1,1331.0,140.74955230958076
1996,Q2,120.82635135135136,13.080795564348854
1996,Q3,730.0,80.4777783572293
1996,Q4,120.82635135135136,13.17187376884108
1997,Q1,1457.0,156.27025860352444
1997,Q2,120.82635135135136,12.538744053965612
1997,Q3,782.0,78.31917305079308
1997,Q4,120.82635135135136,11.551824291716896
1998,Q1,1781.0,161.92610266901508
1998,Q2,120.82635135135136,10.745224063436336
1998,Q3,911.0,79.37254921152196
1998,Q4,120.82635135135136,10.47612405602663
1999,Q1,1736.0,150.10205299908225
1999,Q2,120.82635135135136,10.515360555356885
1999,Q3,1121.0,98.2545846021824
1999,Q4,120.82635135135136,10.728001843378488
2000,Q1,1781.0,160.2616813220887
2000,Q2,120.82635135135136,10.981689969758072
2000,Q3,1079.0,99.0225679811881
2000,Q4,120.82635135135136,11.174060726965145
2001,Q1,1613.0,150.28055058381443
2001,Q2,120.82635135135136,11.267485878110511
2001,Q3,1082.0,100.9436611916267
2001,Q4,120.82635135135136,11.228302346448379
2002,Q1,1774.0,164.1300520706621
2002,Q2,120.82635135135136,10.98721845176937
2002,Q3,1086.0,96.94509248774865
2002,Q4,120.82635135135136,10.497636989819918
2003,Q1,1895.0,159.96807974782703
2003,Q2,120.82635135135136,10.437530220066238
2003,Q3,1172.0,103.88138907845892
2003,Q4,120.82635135135136,11.313000953647839
2004,Q1,1670.0,165.17512525395614
2004,Q2,120.82635135135136,11.865225395045453
2004,Q3,958.0,92.9845366074099
2004,Q4,120.82635135135136,11.17511274358852
2005,Q1,2013.0,176.10538529217865
2005,Q2,120.82635135135136,10.301400708502898
2005,Q3,1233.0,102.58380424337197
2005,Q4,120.82635135135136,10.009409755946471
2006,Q1,2135.0,176.45948655323795
2006,Q2,120.82635135135136,10.126930675523152
2006,Q3,1206.0,102.57468823422944
2006,Q4,120.82635135135136,10.518894537009476
2007,Q1,1973.0,175.8709825654729
2007,Q2,120.82635135135136,10.62364089289716
2007,Q3,1158.0,100.17752402428087
2007,Q4,120.82635135135136,10.047852517349073
2008,Q1,2125.0,169.16705293201437
2008,Q2,120.82635135135136,9.436929758569716
2008,Q3,1750.0,134.250952238558
2008,Q4,120.82635135135136,9.305065070857932
2009,Q1,2384.0,184.58194107411157
2009,Q2,120.82635135135136,9.489258874018201
2009,Q3,1268.0,101.03768401756193
2009,Q4,120.82635135135136,9.811116034308336
2010,Q1,2630.0,217.64015230338745
2010,Q2,120.82635135135136,10.174914509854293
2010,Q3,1671.0,143.14596903383426
2010,Q4,120.82635135135136,10.518964152924015
2011,Q1,1996.0,176.54191552151406
2011,Q2,120.82635135135136,10.8981027702745
2011,Q3,1898.0,174.55280834699934
2011,Q4,120.82635135135136,11.367173361212096
2012,Q1,2717.0,261.4086265479489
2012,Q2,120.82635135135136,11.292669643400208
2012,Q3,1129.0,102.16833061178814
2012,Q4,120.82635135135136,10.330373196862766
2013,Q1,2846.0,228.48724918578074
2013,Q2,120.82635135135136,10.173342407144201
2013,Q3,1774.0,156.998982267223
2013,Q4,120.82635135135136,11.9004261398521
2014,Q1,2236.0,243.4366936611774
2014,Q2,120.82635135135136,12.93267836935594
2014,Q3,1145.0,119.69702052605943
2014,Q4,120.82635135135136,11.573607443407237
2015,Q1,2877.0,248.50157084656922
2015,Q2,120.82635135135136,9.880092328237367
2015,Q3,1942.0,150.2499736764169
2015,Q4,120.82635135135136,9.208363148776524
2016,Q1,2903.0,218.46910659517377
2016,Q2,120.82635135135136,10.533842344593614
2016,Q3,1517.0,151.15859620031043
2016,Q4,120.82635135135136,14.358454859922148
2017,Q1,1474.0,204.24320723325968
2017,Q2,120.82635135135136,16.55671996251199
2017,Q3,909.0,121.57983454443752
2017,Q4,120.82635135135136,14.180238259790823
2018,Q1,2397.0,237.8465679378259
2018,Q2,120.82635135135136,11.013663586533523
2018,Q3,1533.0,128.13729370075143
2018,Q4,120.82635135135136,9.962474774889127
2019,Q1,3073.0,251.45368716897545
2019,Q2,120.82635135135136,9.829799820132926
2019,Q3,1519.0,122.8701114902428
2019,Q4,120.82635135135136,9.726401520648821
2020,Q1,3197.0,256.12848125488506
2020,Q2,120.82635135135136,9.71317448779792
2020,Q3,1924.0,155.24503117397504
2020,Q4,120.82635135135136,9.833313083341986
2021,Q1,3062.0,251.40206293741863
2021,Q2,120.82635135135136,10.446497821607341
2021,Q3,2088.0,189.9184228985445
2021,Q4,120.82635135135136,11.83301634242958
2022,Q1,1931.0,202.86018628773357
2022,Q2,120.82635135135136,12.59997856104534
2022,Q3,1462.0,150.60801431892077
2022,Q4,120.82635135135136,11.571820832300325
2023,Q1,2696.0,237.3442632942737
