Year,District,Employee_(%),Self_Employed_Employer_(%),Self_Employed_Own_account_worker_(%),Self_Employed_Contributing_family_worker_(%)
2019,Polonnaruwa,44.7,0.7,45.2,9.4
2019,Badulla,39.3,0.7,42.9,17.2
2019,Moneragala,36.0,1.6,52.4,10.0
2019,Ratnapura,54.5,3.3,32.9,9.3
2019,Kegalle,61.0,1.4,32.9,4.7
2020,Colombo,100.0,66.4,3.7,26.7,3.2
2021,Colombo,100.0,68.7,5.3,22.8,3.2
2022,Colombo,100.0,65.4,6.1,25.4,3.1
2023,Colombo,100.0,68.9,4.8,23.7,2.7
2024,Colombo,100.0,68.0,6.4,22.9,2.8
2020,Gampaha,100.0,65.1,4.7,27.1,3.1
2021,Gampaha,100.0,64.4,3.9,28.3,3.4
2022,Gampaha,100.0,64.7,3.9,28.5,2.9
2023,Gampaha,100.0,65.8,4.0,27.5,2.8
2024,Gampaha,100.0,67.6,4.4,25.6,2.4
2020,Kalutara,100.0,65.4,1.6,28.3,4.7
2021,Kalutara,100.0,63.7,1.6,29.7,5.1
2022,Kalutara,100.0,67.1,2.2,26.7,4.1
2023,Kalutara,100.0,69.9,1.3,25.6,3.2
2024,Kalutara,100.0,68.1,1.6,27.7,2.5
2020,Kandy,100.0,60.3,3.3,30.5,5.9
2021,Kandy,100.0,56.4,3.4,33.3,6.9
2022,Kandy,100.0,60.5,3.3,30.3,5.9
2023,Kandy,100.0,60.0,3.6,30.0,6.4
2024,Kandy,100.0,61.0,4.2,29.6,5.2
2020,Matale,100.0,48.8,2.8,35.8,12.7
2021,Matale,100.0,50.0,1.6,38.7,9.8
2022,Matale,100.0,50.6,1.2,37.3,11.0
2023,Matale,100.0,54.3,0.9,37.8,7.0
2024,Matale,100.0,50.6,1.3,42.4,5.7
2020,Nuwara Eliya,100.0,65.2,3.1,23.4,8.4
2021,Nuwara Eliya,100.0,67.8,2.7,22.3,7.2
2022,Nuwara Eliya,100.0,65.0,1.5,26.1,7.3
2023,Nuwara Eliya,100.0,65.7,1.5,26.3,6.5
2024,Nuwara Eliya,100.0,68.3,2.1,24.4,5.2
2020,Galle,100.0,63.0,2.5,30.0,4.5
2021,Galle,100.0,63.3,3.0,28.3,5.3
2022,Galle,100.0,63.6,3.0,27.9,5.4
2023,Galle,100.0,58.8,3.2,31.6,6.4
2024,Galle,100.0,61.2,2.3,31.1,5.4
2020,Matara,100.0,57.8,1.9,33.3,7.0
2021,Matara,100.0,57.9,3.4,32.4,6.3
2022,Matara,100.0,55.2,2.8,37.1,4.9
2023,Matara,100.0,62.9,2.2,31.2,3.7
2024,Matara,100.0,64.4,1.6,31.1,2.9
2020,Hambantota,100.0,47.8,1.3,44.2,6.8
2021,Hambantota,100.0,51.0,1.6,40.4,7.0
2022,Hambantota,100.0,54.5,1.9,39.9,3.7
2023,Hambantota,100.0,48.7,1.9,42.4,7.0
2024,Hambantota,100.0,47.0,1.7,44.7,6.6
2020,Jaffna,100.0,61.2,2.7,32.0,4.1
2021,Jaffna,100.0,61.0,4.1,32.8,2.1
2022,Jaffna,100.0,68.7,2.5,27.7,1.1
2023,Jaffna,100.0,66.2,5.0,26.4,2.5
2024,Jaffna,100.0,68.2,2.0,28.0,1.9
2020,Mannar,100.0,53.2,3.1,41.1,2.6
2021,Mannar,100.0,48.4,0.3,45.3,5.9
2022,Mannar,100.0,43.3,0.3,52.3,4.2
2023,Mannar,100.0,49.2,0.2,46.1,4.4
2024,Mannar,100.0,47.8,1.5,46.0,4.6
2020,Vavuniya,100.0,58.7,0.3,35.0,6.0
2021,Vavuniya,100.0,59.9,0.4,35.5,4.2
2022,Vavuniya,100.0,63.6,4.0,27.1,5.3
2023,Vavuniya,100.0,57.8,2.6,36.9,2.8
