Year,Category,Sector_or_Category,Age_Group,Total_(%),Male_(%),Female_(%)
2018,Age_and_Sector,Estate,15-19,17.9,21.8,14.2
2018,Age_and_Sector,Estate,20-24,62.4,80.4,45.4
2018,Age_and_Sector,Estate,25-29,74.1,91.9,54.5
2018,Age_and_Sector,Estate,30-39,78.6,95.1,64.6
2018,Age_and_Sector,Estate,40+,59.4,70.5,49.7
2018,Standardized_Age_Groups,,15 & over,51.8,73.0,33.6
2018,Standardized_Age_Groups,,15-24,30.0,39.7,20.7
2018,Standardized_Age_Groups,,25-34,66.2,94.0,42.7
2018,Standardized_Age_Groups,,35-54,68.5,95.3,45.9
2018,Standardized_Age_Groups,,55-64,54.2,77.8,33.2
2018,Standardized_Age_Groups,,65+,22.1,36.4,11.0
2018,Standardized_Age_Groups,,15-64,56.9,78.9,37.7
2018,Standardized_Age_Groups,,25-54,67.8,94.9,44.9
2019,Age_and_Sector,Total,15-19,12.0,16.9,7.0
2019,Age_and_Sector,Total,20-24,54.9,71.2,39.7
2019,Age_and_Sector,Total,25-29,68.1,91.3,47.3
2019,Age_and_Sector,Total,30-39,67.6,96.5,44.4
2019,Age_and_Sector,Total,40+,52.6,75.3,33.6
2019,Age_and_Sector,Urban,15-19,9.7,14.3,4.9
2019,Age_and_Sector,Urban,20-24,54.9,66.4,43.3
2019,Age_and_Sector,Urban,25-29,69.4,92.5,50.1
2019,Age_and_Sector,Urban,30-39,69.3,96.6,45.2
2019,Age_and_Sector,Urban,40+,48.7,72.1,29.8
2019,Age_and_Sector,Rural,15-19,12.0,16.6,7.4
2019,Age_and_Sector,Rural,20-24,54.1,71.4,38.5
2019,Age_and_Sector,Rural,25-29,67.6,91.1,45.9
2019,Age_and_Sector,Rural,30-39,66.5,96.4,43.1
2019,Age_and_Sector,Rural,40+,53.2,76.2,33.8
2019,Age_and_Sector,Estate,15-19,19.9,31.5,7.8
2019,Age_and_Sector,Estate,20-24,67.5,86.4,48.2
2019,Age_and_Sector,Estate,25-29,72.4,91.0,58.5
2019,Age_and_Sector,Estate,30-39,79.9,96.6,63.9
2019,Age_and_Sector,Estate,40+,58.0,69.7,47.6
2019,Standardized_Age_Groups,,15 & over,52.3,73.0,34.5
2019,Standardized_Age_Groups,,15-24,30.7,39.8,21.7
2019,Standardized_Age_Groups,,25-34,67.1,93.7,44.7
2019,Standardized_Age_Groups,,35-54,69.2,95.1,47.0
2019,Standardized_Age_Groups,,55-64,53.8,77.7,33.5
2019,Standardized_Age_Groups,,65+,23.5,38.5,11.7
2019,Standardized_Age_Groups,,15-64,57.5,78.8,38.8
2019,Standardized_Age_Groups,,25-54,68.5,94.7,46.3
2020,Overall,Overall,50.6,71.9,32.0
2020,By Age Group,15-19,11.2,16.0,6.4
2020,By Age Group,20-24,51.5,68.6,35.7
2020,By Age Group,25-29,66.4,89.9,45.6
2020,By Age Group,30-39,66.8,96.1,42.4
2020,By Age Group,40+,51.0,74.4,31.2
2020,By Sector,Urban,47.0,68.6,28.0
2020,By Sector Urban Age,15-19,8.2,11.9,4.5
2020,By Sector Urban Age,20-24,49.4,65.6,32.6
2020,By Sector Urban Age,25-29,69.4,88.4,50.9
2020,By Sector Urban Age,30-39,65.7,95.8,38.7
2020,By Sector Urban Age,40+,45.0,69.1,25.3
2020,By Sector,Rural,51.0,72.7,32.2
2020,By Sector Rural Age,15-19,11.4,16.4,6.4
2020,By Sector Rural Age,20-24,51.6,68.8,36.1
2020,By Sector Rural Age,25-29,65.7,90.1,44.5
2020,By Sector Rural Age,30-39,66.2,95.9,41.9
2020,By Sector Rural Age,40+,52.1,75.8,31.8
2020,By Sector,Estate,57.7,71.1,45.5
2020,By Sector Estate Age,15-19,19.9,22.8,16.1
2020,By Sector Estate Age,20-24,58.2,79.1,41.4
2020,By Sector Estate Age,25-29,66.8,93.9,41.6
2020,By Sector Estate Age,30-39,82.3,99.2,65.7
2020,By Sector Estate Age,40+,55.7,68.2,45.3
2020,Standardized Age Groups,15-24,29.2,38.8,19.8
2020,Standardized Age Groups,25-34,66.8,92.7,44.1
2020,Standardized Age Groups,35-54,67.4,94.7,43.9
2020,Standardized Age Groups,55-64,52.1,76.1,31.3
2020,Standardized Age Groups,65+,22.5,37.9,10.6
2020,Standardized Age Groups,15-64,55.8,77.8,36.3
2020,Standardized Age Groups,25-54,67.3,94.1,43.9
2021,Overall,Overall,49.9,71.0,31.8
2021,By Age Group,15-19,8.8,13.0,4.7
2021,By Age Group,20-24,47.6,62.4,33.7
2021,By Age Group,25-29,66.8,89.4,46.0
2021,By Age Group,30-39,67.3,95.6,44.2
2021,By Age Group,40+,50.8,74.6,30.9
2021,By Sector,Urban,46.9,66.7,29.8
2021,By Sector Urban Age,15-19,6.9,9.6,4.1
2021,By Sector Urban Age,20-24,41.8,51.2,32.7
2021,By Sector Urban Age,25-29,68.6,86.1,52.8
2021,By Sector Urban Age,30-39,68.0,94.3,46.0
2021,By Sector Urban Age,40+,46.0,70.2,26.0
2021,By Sector,Rural,50.1,71.9,31.5
2021,By Sector Rural Age,15-19,9.0,13.3,4.8
2021,By Sector Rural Age,20-24,48.1,64.0,33.1
2021,By Sector Rural Age,25-29,66.2,89.8,44.2
2021,By Sector Rural Age,30-39,66.4,96.0,42.6
2021,By Sector Rural Age,40+,51.4,75.7,31.1
2021,By Sector,Estate,58.2,72.2,46.2
2021,By Sector Estate Age,15-19,13.1,19.5,6.4
2021,By Sector Estate Age,20-24,61.6,81.6,48.0
2021,By Sector Estate Age,25-29,71.9,96.2,50.4
2021,By Sector Estate Age,30-39,80.1,95.2,65.7
2021,By Sector Estate Age,40+,58.5,72.3,47.0
2021,Standardized Age Groups,15-24,26.4,35.1,18.0
2021,Standardized Age Groups,25-34,67.1,92.1,45.2
2021,Standardized Age Groups,35-54,68.0,95.2,44.8
2021,Standardized Age Groups,55-64,52.5,77.9,31.1
2021,Standardized Age Groups,65+,21.1,36.5,9.4
2021,Standardized Age Groups,15-64,55.5,77.2,36.4
2021,Standardized Age Groups,25-54,67.7,94.2,44.9
2022,Overall,Overall,49.8,70.5,32.1
2022,By Age Group,15-19,7.7,10.9,4.6
2022,By Age Group,20-24,48.0,63.0,34.4
2022,By Age Group,25-29,67.0,89.9,46.2
2022,By Age Group,30-39,67.1,95.9,43.3
2022,By Age Group,40+,51.0,74.1,31.7
2022,By Sector,Urban,47.2,68.0,29.3
2022,By Sector Urban Age,15-19,5.4,7.2,3.4
2022,By Sector Urban Age,20-24,40.0,51.3,30.6
2022,By Sector Urban Age,25-29,67.6,88.4,46.4
2022,By Sector Urban Age,30-39,68.1,95.9,44.2
2022,By Sector Urban Age,40+,46.9,71.4,26.9
2022,By Sector,Rural,49.9,70.9,32.0
2022,By Sector Rural Age,15-19,7.7,11.0,4.5
2022,By Sector Rural Age,20-24,49.0,64.4,34.6
2022,By Sector Rural Age,25-29,66.8,90.2,46.2
2022,By Sector Rural Age,30-39,66.1,95.9,41.9
2022,By Sector Rural Age,40+,51.5,74.8,32.1
2022,By Sector,Estate,58.6,73.3,45.6
2022,By Sector Estate Age,15-19,18.3,25.3,10.9
2022,By Sector Estate Age,20-24,64.4,88.0,47.8
2022,By Sector Estate Age,25-29,68.1,89.5,45.7
2022,By Sector Estate Age,30-39,80.2,96.2,66.1
2022,By Sector Estate Age,40+,57.8,72.2,45.2
2022,Standardized Age Groups,15-24,25.3,33.2,17.9
2022,Standardized Age Groups,25-34,66.8,92.6,44.7
2022,Standardized Age Groups,35-54,68.2,95.4,45.0
2022,Standardized Age Groups,55-64,53.0,76.8,32.3
2022,Standardized Age Groups,65+,21.7,36.3,10.6
2022,Standardized Age Groups,15-64,55.4,76.8,36.6
2022,Standardized Age Groups,25-54,67.8,94.6,44.9
2023,Overall,Overall,48.6,68.6,31.3
2023,By Age Group,15-19,7.4,10.9,3.9
2023,By Age Group,20-24,44.5,57.5,32.3
2023,By Age Group,25-29,66.4,88.1,46.8
2023,By Age Group,30-39,66.4,95.0,43.0
2023,By Age Group,40+,50.0,72.8,31.0
2023,By Sector,Urban,46.0,65.6,28.9
2023,By Sector Urban Age,15-19,6.4,9.0,3.5
2023,By Sector Urban Age,20-24,42.8,51.9,33.0
2023,By Sector Urban Age,25-29,68.1,87.0,49.8
2023,By Sector Urban Age,30-39,68.0,96.2,44.4
2023,By Sector Urban Age,40+,44.8,68.3,25.9
2023,By Sector,Rural,48.9,69.2,31.4
2023,By Sector Rural Age,15-19,7.4,10.9,3.9
2023,By Sector Rural Age,20-24,44.6,58.3,31.8
2023,By Sector Rural Age,25-29,65.6,88.1,45.7
2023,By Sector Rural Age,30-39,65.9,94.8,42.2
2023,By Sector Rural Age,40+,50.8,73.8,31.6
2023,By Sector,Estate,53.2,69.6,39.0
2023,By Sector Estate Age,15-19,11.0,17.5,5.4
2023,By Sector Estate Age,20-24,51.6,69.2,37.6
2023,By Sector Estate Age,25-29,72.8,92.6,54.2
2023,By Sector Estate Age,30-39,70.2,93.9,50.5
2023,By Sector Estate Age,40+,55.7,71.8,41.5
2023,Standardized Age Groups,15-24,24.0,31.3,16.9
2023,Standardized Age Groups,25-34,66.5,91.3,44.9
2023,Standardized Age Groups,35-54,67.2,94.0,44.3
2023,Standardized Age Groups,55-64,52.9,76.6,31.9
2023,Standardized Age Groups,65+,21.0,34.8,10.8
2023,Standardized Age Groups,15-64,54.4,75.0,36.0
2023,Standardized Age Groups,25-54,67.0,93.2,44.5
2024,Overall,Overall,47.4,67.4,29.8
2024,By Age Group,15-19,7.8,11.1,4.4
2024,By Age Group,20-24,43.9,57.7,30.8
2024,By Age Group,25-29,65.9,87.1,46.6
2024,By Age Group,30-39,66.9,94.1,43.6
2024,By Age Group,40+,48.0,70.8,28.7
2024,By Sector,Urban,44.3,64.1,27.0
2024,By Sector Urban Age,15-19,7.6,10.6,4.6
2024,By Sector Urban Age,20-24,39.3,47.0,31.1
2024,By Sector Urban Age,25-29,63.9,84.7,44.1
2024,By Sector Urban Age,30-39,68.1,94.7,44.9
2024,By Sector Urban Age,40+,43.0,66.0,23.7
2024,By Sector,Rural,47.8,68.3,30.0
2024,By Sector Rural Age,15-19,7.5,11.1,4.0
2024,By Sector Rural Age,20-24,44.3,59.3,30.3
2024,By Sector Rural Age,25-29,66.2,87.5,47.3
2024,By Sector Rural Age,30-39,66.1,94.1,42.5
2024,By Sector Rural Age,40+,48.9,72.1,29.3
2024,By Sector,Estate,52.2,65.5,39.7
2024,By Sector Estate Age,15-19,12.4,12.9,11.9
2024,By Sector Estate Age,20-24,54.0,74.0,38.3
2024,By Sector Estate Age,25-29,68.3,90.0,44.2
2024,By Sector Estate Age,30-39,77.4,90.2,63.8
2024,By Sector Estate Age,40+,52.3,65.6,40.3
2024,Standardized Age Groups,15-24,23.8,31.5,16.3
2024,Standardized Age Groups,25-34,66.3,90.2,45.2
2024,Standardized Age Groups,35-54,66.5,93.8,42.9
2024,Standardized Age Groups,55-64,50.7,75.0,29.3
2024,Standardized Age Groups,65+,20.2,33.7,9.5
2024,Standardized Age Groups,15-64,53.6,74.6,34.7
2024,Standardized Age Groups,25-54,66.5,92.7,43.6
