Window_end_idx,GDP_coef,CI_low,CI_high
11,-5.698350848794334,-37.148475289778474,25.751773592189807
12,-7.9183150752403435,-26.818001487915453,10.981371337434766
13,-4.084471051907849,-9.248654517696085,1.0797124138803857
14,-1.184322730987591,-7.312504269367929,4.943858807392747
15,-0.42915992928469726,-7.991439512463118,7.133119653893723
16,-3.9274877597769446,-17.234148388466505,9.379172868912615
17,6.4393886419259765,-3.6422282234166694,16.521005507268622
18,-0.01788012979760456,-17.055087520143662,17.019327260548454
19,3.341662300591475,-0.3747263244249561,7.0580509256079065
20,-0.23874458619198546,-6.954891167291587,6.477401994907616
21,0.35627990684839395,-7.092361713438512,7.804921527135299
22,-1.4858220835247244,-5.337676047663529,2.36603188061408
23,-2.3771638288698678,-4.511913260057808,-0.24241439768192796
24,-0.9838365396263518,-7.321779516874521,5.354106437621818
25,-6.638529834680504,-30.839384698391505,17.562325029030497
26,-3.4220392988082162,-19.55278723086472,12.708708633248289
27,-1.5578882202236883,-8.894480429296003,5.778703988848627
28,0.974853865733573,-3.0941320448695535,5.0438397763367
29,1.7733015844335567,-4.3299288174933634,7.876531986360477
30,0.97908337950276,-9.578924594250573,11.537091353256095
31,4.877395718659315,-4.990891795993498,14.745683233312128
32,1.1428397571388618,-2.618804288009451,4.904483802287174
33,1.1274966877667663,-4.676374700183578,6.93136807571711
34,0.9417006523630489,-2.6970732780389834,4.580474582765081
35,0.8343106132367739,-1.357786481896959,3.026407708370507
