Year,District,Total_(%),Male_(%),Female_(%)
2020,Galle,100.0,64.2,35.8
2020,Matara,100.0,66.0,34.0
2020,Hambantota,100.0,69.5,30.5
2020,Jaffna,100.0,74.7,25.3
2020,Mannar,100.0,78.9,21.1
2020,Vavunia,100.0,69.3,30.7
2020,Mullativu,100.0,74.6,25.4
2020,Kilinochchi,100.0,73.7,26.3
2020,Batticaloa,100.0,71.7,28.3
2020,Ampara,100.0,74.7,25.3
2020,Trincomalee,100.0,79.8,20.2
2020,Kurunegala,100.0,61.3,38.7
2020,Puttalam,100.0,69.2,30.8
2020,Anuradhapura,100.0,61.3,38.7
2020,Polonnaruwa,100.0,72.6,27.4
2020,Badulla,100.0,65.0,35.0
2020,Moneragala,100.0,69.6,30.4
2020,Ratnapura,100.0,65.2,34.8
2020,Kegalle,100.0,62.0,38.0
2021,Colombo,100.0,64.2,35.8
2021,Gampaha,100.0,67.9,32.1
2021,Kalutara,100.0,63.5,36.5
2021,Kandy,100.0,65.2,34.8
2021,Matale,100.0,64.0,36.0
2021,Nuwara Eliya,100.0,59.3,40.7
2021,Galle,100.0,64.5,35.5
2021,Matara,100.0,66.9,33.1
2021,Hambantota,100.0,69.5,30.5
2021,Jaffna,100.0,74.8,25.2
2021,Mannar,100.0,63.4,36.6
2021,Vavunia,100.0,68.2,31.8
2021,Mullativu,100.0,72.3,27.7
2021,Kilinochchi,100.0,76.4,23.6
2021,Batticaloa,100.0,69.6,30.4
2021,Ampara,100.0,77.6,22.4
2021,Trincomalee,100.0,82.3,17.7
2021,Kurunegala,100.0,62.0,38.0
2021,Puttalam,100.0,67.0,33.0
2021,Anuradhapura,100.0,62.0,38.0
2021,Polonnaruwa,100.0,74.2,25.8
2021,Badulla,100.0,61.5,38.5
2021,Moneragala,100.0,65.1,34.9
2021,Ratnapura,100.0,65.1,34.9
2021,Kegalle,100.0,62.7,37.3
2022,Colombo,100.0,65.0,35.0
2022,Gampaha,100.0,63.9,36.1
2022,Kalutara,100.0,64.9,35.1
2022,Kandy,100.0,61.0,39.0
2022,Matale,100.0,62.2,37.8
2022,Nuwara Eliya,100.0,58.0,42.0
2022,Galle,100.0,62.3,37.7
2022,Matara,100.0,67.1,32.9
2022,Hambantota,100.0,68.7,31.3
2022,Jaffna,100.0,74.5,25.5
2022,Mannar,100.0,62.3,37.7
2022,Vavuniya,100.0,69.9,30.1
2022,Mullaitivu,100.0,71.6,28.4
2022,Kilinochchi,100.0,71.4,28.6
2022,Batticaloa,100.0,75.5,24.5
2022,Ampara,100.0,77.3,22.7
2022,Trincomalee,100.0,77.3,22.7
2022,Kurunegala,100.0,63.8,36.2
2022,Puttalam,100.0,68.1,31.9
2022,Anuradhapura,100.0,63.3,36.7
2022,Polonnaruwa,100.0,73.7,26.3
2022,Badulla,100.0,62.9,37.1
2022,Monaragala,100.0,69.3,30.7
2022,Rathnapura,100.0,64.2,35.8
2022,Kegalle,100.0,62.3,37.7
2023,Colombo,100.0,64.2,35.8
2023,Gampaha,100.0,67.0,33.0
2023,Kalutara,100.0,63.9,36.1
2023,Kandy,100.0,63.1,36.9
2023,Matale,100.0,63.4,36.6
2023,Nuwara Eliya,100.0,60.1,39.9
2023,Galle,100.0,64.0,36.0
2023,Matara,100.0,69.5,30.5
2023,Hambantota,100.0,65.8,34.2
2023,Jaffna,100.0,71.9,28.1
2023,Mannar,100.0,70.1,29.9
2023,Vavuniya,100.0,62.7,37.3
2023,Mullaitivu,100.0,70.5,29.5
2023,Kilinochchi,100.0,72.2,27.8
2023,Batticaloa,100.0,71.3,28.7
2023,Ampara,100.0,77.9,22.1
2023,Trincomalee,100.0,74.8,25.2
2023,Kurunegala,100.0,62.9,37.1
2023,Puttalam,100.0,66.9,33.1
2023,Anuradhapura,100.0,64.5,35.5
2023,Polonnaruwa,100.0,73.3,26.7
2023,Badulla,100.0,61.1,38.9
2023,Monaragala,100.0,68.2,31.8
2023,Rathnapura,100.0,65.2,34.8
2023,Kegalle,100.0,60.3,39.7
2024,Colombo,100.0,66.5,33.5
2024,Gampaha,100.0,67.0,33.0
2024,Kalutara,100.0,68.9,31.1
2024,Kandy,100.0,63.3,36.7
2024,Matale,100.0,66.2,33.8
2024,Nuwara Eliya,100.0,61.7,38.3
2024,Galle,100.0,61.1,38.9
2024,Matara,100.0,69.6,30.4
2024,Hambantota,100.0,67.7,32.3
2024,Jaffna,100.0,74.2,25.8
2024,Mannar,100.0,71.7,28.3
2024,Vavuniya,100.0,60.1,39.9
2024,Mullaitivu,100.0,74.0,26.0
