year,male,female,total
2015,2.0,3.8,2.7
2016,1.7,3.5,2.4
2017,2.2,3.9,2.8
2018,2.2,3.5,2.6
2019,2.3,3.5,2.7
2020,2.3,3.3,2.6
2021,2.1,3.3,2.5
2022,2.3,3.4,2.7
2023,3.4,4.4,3.7
2024,2.0,2.5,2.2
